Precursor	logFC	mean_cancer	mean_normal	ttest_pvalue	BH.adjusted_pvalues	Precursor.ID	miRNA.ID	miRNA.name
hsa-mir-195	-1.12	7.27	8.4	3.46057395555366e-16	1.77301400787679e-15	MI0000489	MIMAT0004615	hsa-miR-195-3p
hsa-mir-195	-1.12	7.27	8.4	3.46057395555366e-16	1.77301400787679e-15	MI0000489	MIMAT0000461	hsa-miR-195-5p
hsa-mir-188	1.26	3.23	1.97	3.46604242141327e-16	1.77301400787679e-15	MI0000484	MIMAT0004613	hsa-miR-188-3p
hsa-mir-188	1.26	3.23	1.97	3.46604242141327e-16	1.77301400787679e-15	MI0000484	MIMAT0000457	hsa-miR-188-5p
hsa-mir-187	1.68	5.18	3.51	4.65053684228728e-16	2.33404301895928e-15	MI0000274	MIMAT0000262	hsa-miR-187-3p
hsa-mir-187	1.68	5.18	3.51	4.65053684228728e-16	2.33404301895928e-15	MI0000274	MIMAT0004561	hsa-miR-187-5p
hsa-mir-98	1.01	7.79	6.79	6.42689832238201e-16	3.19542982010021e-15	MI0000100	MIMAT0000096	hsa-miR-98-5p
hsa-mir-98	1.01	7.79	6.79	6.42689832238201e-16	3.19542982010021e-15	MI0000100	MIMAT0022842	hsa-miR-98-3p
hsa-mir-651	1.22	3.36	2.14	7.94992475528153e-16	3.91607404612016e-15	MI0003666	MIMAT0026624	hsa-miR-651-3p
hsa-mir-651	1.22	3.36	2.14	7.94992475528153e-16	3.91607404612016e-15	MI0003666	MIMAT0003321	hsa-miR-651-5p
hsa-mir-191	1.18	11.66	10.48	1.02644126421242e-15	5.00978672074317e-15	MI0000465	MIMAT0001618	hsa-miR-191-3p
hsa-mir-191	1.18	11.66	10.48	1.02644126421242e-15	5.00978672074317e-15	MI0000465	MIMAT0000440	hsa-miR-191-5p
hsa-mir-7-1	1.16	6.72	5.57	1.07082522582666e-15	5.17890018308894e-15	MI0000263	MIMAT0004553	hsa-miR-7-1-3p
hsa-mir-1284	0.66	1.03	0.38	1.39111233587042e-15	6.60778359538448e-15	MI0006431	MIMAT0005941	hsa-miR-1284
hsa-mir-1292	0.82	1.36	0.55	1.76988308883316e-15	8.33254693149772e-15	MI0006433	MIMAT0022948	hsa-miR-1292-3p
hsa-mir-1292	0.82	1.36	0.55	1.76988308883316e-15	8.33254693149772e-15	MI0006433	MIMAT0005943	hsa-miR-1292-5p
hsa-mir-181c	1.2	8.5	7.3	1.81261915466943e-15	8.45888938845734e-15	MI0000271	MIMAT0004559	hsa-miR-181c-3p
hsa-mir-181c	1.2	8.5	7.3	1.81261915466943e-15	8.45888938845734e-15	MI0000271	MIMAT0000258	hsa-miR-181c-5p
hsa-mir-1250	0.4	0.49	0.09	2.03452853316049e-15	9.41190590992506e-15	MI0006385	MIMAT0005902	hsa-miR-1250-5p
hsa-mir-1250	0.4	0.49	0.09	2.03452853316049e-15	9.41190590992506e-15	MI0006385	MIMAT0026740	hsa-miR-1250-3p
hsa-mir-33a	1.44	5.59	4.14	2.08883283655056e-15	9.57981956073189e-15	MI0000091	MIMAT0004506	hsa-miR-33a-3p
hsa-mir-33a	1.44	5.59	4.14	2.08883283655056e-15	9.57981956073189e-15	MI0000091	MIMAT0000091	hsa-miR-33a-5p
hsa-mir-4326	1.66	4.06	2.4	2.79148345748445e-15	1.26928991400148e-14	MI0015866	MIMAT0016888	hsa-miR-4326
hsa-mir-585	-1.25	1.24	2.48	2.91416922808391e-15	1.31384578757682e-14	MI0003592	MIMAT0026618	hsa-miR-585-5p
hsa-mir-585	-1.25	1.24	2.48	2.91416922808391e-15	1.31384578757682e-14	MI0003592	MIMAT0003250	hsa-miR-585-3p
hsa-mir-330	0.94	7.01	6.07	4.27189262490663e-15	1.90978729113473e-14	MI0000803	MIMAT0004693	hsa-miR-330-5p
